views_int,views,ai_comment_mentions,comments_scanned,comments,norwegian_score,title,channel,channel_country,default_language,default_audio_language,url,duration,upload_date,found_by_queries,norwegian_reasons,norwegian_markers_found,ai_markers_in_metadata,subscribers,channel_video_count,comment_scan_error,ai_comment_texts
14713,14713,0,0,0,15,Jeg kan rope HURRA sangen  | Norske barnesanger  |  17. mai-sang med Tittei,Tittei,NO,no,,https://www.youtube.com/shorts/_fSTpPfiHiU,2:13,2026-05-12T04:30:20Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; der; det; dette; du; jeg; med; norsk; norske; og; på; til; velkommen; å; æ; ø,,906,67,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
14686,14686,0,24,42,15,Magnus Pedersen | Jeg skal finne deg (ULD) | LIVE | The Voice Norway 2026,The Voice Norway,NO,no,en-US,https://www.youtube.com/shorts/JuZj04C6bcw,2:15,2026-05-23T10:38:47Z,Norge,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,jeg; norge; og; å; æ; ø,,386000,1392,,
14592,14592,0,12,16,13,Dette er hva folk tenker om Norge🇳🇴  #VG #Norge #Mat,VG,,no,no,https://www.youtube.com/shorts/qMYX9Ww8hWA,1:00,2024-02-12T08:50:41Z,Norge; norske,defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,dette; hva; norge; ø,,3880,707,,
14511,14511,0,12,12,15,Alle nordmenn når det er over 10 grader😂☀️ #Norge #vår #GrusommeMeg #sommer #Minions,Prime Video Norge,NO,no,,https://www.youtube.com/shorts/U8jv648oneQ,0:08,2024-04-30T13:04:40Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; det; du; følg; ikke; med; nordmenn; norge; norsk; norske; og; på; til; velkommen; å; ø,,200000,1786,,
14401,14401,0,15,18,12,"""JEG"" på norske dialekter #norsk #learnnorwegian #dialekt #norwegian #dialects",Ola Norwegian,PL,no,no,https://www.youtube.com/shorts/t_PFA2EwmNU,0:37,2024-03-19T08:55:24Z,norsk,defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk; norske; æ,,7090,383,,
14376,14376,0,8,14,19,Lær Grunnleggende Beskrivende Ord på Norsk for Nybegynnere 4,My Norwegan Teacher,NO,no,no,https://www.youtube.com/shorts/9dXzb0F0dYg,0:58,2025-01-03T10:37:06Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; det; du; norsk; norske; og; på; til; å; æ; ø,,8880,275,,
14359,14359,0,24,30,6,Ta vare på hverandre❤️ #trist #norge #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/2LaeuVg8oWk,1:20,2026-06-01T08:04:44Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; norsk; på; til; å; æ; ø,,7760,160,,
14275,14275,0,21,27,14,Tester sjokolader ingen kjøper❌🤔 #markuzlife #norsk,Markuz Life,NO,no,und,https://www.youtube.com/shorts/iW5UgWmcIio,1:01,2025-09-18T14:47:29Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,jeg; og; å; ø,,53400,492,,
14065,14065,0,21,38,6,ASMR 🇳🇴 - Japp vs. Stratos Sjokolade 🍫 #asmr #sjokolade #norsk #norwegian #avslapning #søvn,VETL ASMR,,no,en-US,https://www.youtube.com/shorts/zxRuDhsYpow,0:16,2025-01-13T15:02:00Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,ø,chat,11200,1699,,
14012,14012,0,0,0,19,Bukkene bruse Store bukken #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/kt2ulLw5lqU,0:49,2024-02-22T06:45:03Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
13970,13970,0,2,2,3,"Netherlands vs Norway (2-1) Highlights International Friendly | Nederland Norge, Nederland Noorwegen",Europa Network ,PL,nl,,https://www.youtube.com/shorts/Pj2d7SV5LX8,1:45,2026-03-27T21:37:11Z,Norge,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; ø,,3460,668,,
13876,13876,0,2,6,8,Norge Sverige (3-1) høydepunkter  | International Friendly 2026 | sweden norway | norway sweden ,Premier Ligue TV,PL,no,,https://www.youtube.com/shorts/dPXXNW5GESY,1:56,2026-06-01T18:54:13Z,Norge,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norge; å; ø,,3100,301,,
13834,13834,0,12,12,19,Annonse Coca-Cola Norge - Hvordan hadde det norske nødlandslaget sett ut i dag?🤔🇳🇴,FotMob Norge,NO,no,no,https://www.youtube.com/shorts/tkLMMa74o-I,2:02,2026-06-09T12:16:37Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; det; du; hvordan; med; norge; norsk; norske; og; på; til; velkommen; å; ø,,8040,336,,
13761,13761,0,0,0,19,Hode skulder kne og tå #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/l3933Vkj9fU,0:20,2024-02-28T06:00:21Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
13679,13679,0,28,44,9,Hva er den fineste bunaden i Norge? #norsk,Amund Pettersen,,no,,https://www.youtube.com/shorts/si01J_-31KM,1:37,2025-10-06T14:51:35Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; hva; norge,,1400,37,,
13497,13497,0,1,1,15,Operasjon Bever l Trailer l Norsk,Disney Norge,NO,no,,https://www.youtube.com/shorts/RtTR4UxRcDI,2:25,2026-01-16T11:12:42Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; med; norge; norsk; norske; på; til; å,,18100,216,,
13452,13452,0,4,4,19,Captain's Corner: VM-episode 1. I golfbilen før Irak - Norge,FOTBALLANDSLAGET,NO,no,no,https://www.youtube.com/shorts/NaUAbaiarPs,2:26,2026-06-16T01:25:05Z,Norge,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; norge; til; velkommen; ø,,28600,229,,
13315,13315,0,7,7,9,Kjøper dama en jakke til 6000kr! #norsk,Amund Pettersen,,no,,https://www.youtube.com/shorts/obfT8jS_EW0,0:54,2025-10-02T14:49:19Z,norsk; norske,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; til; æ; ø,,1400,37,,
13236,13236,0,0,0,19,Lille kattepus SHORTS #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/Z5woY3DLm30,0:34,2024-03-12T06:00:12Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
13176,13176,0,5,10,19,lær norsk A1-A2,Norsk Tolk | NTN Skole,NO,no,no,https://www.youtube.com/shorts/rmDs5EQ9b04,1:00,2025-09-17T10:48:37Z,norsk; norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; hva; hvordan; med; norge; norsk; og; på; til; velkommen; å; æ; ø,,33400,351,,
12959,12959,0,2,3,19,Amalie (11) danser discodans med høyt tempo! | Auditions | Norske talenter,Norske talenter,NO,no,no,https://www.youtube.com/shorts/5KD1HOxILbk,2:27,2023-10-06T18:59:00Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; følg; med; norsk; norske; og; på; å; ø,,11600,466,,
12896,12896,0,14,17,10,🔥 Norge VM Hymne 2026 🇳🇴 | Viking Supportersang ⚽ #Norge #NorskFotball #erlinghaaland @erling,World Cup Anthems,TR,en,no,https://www.youtube.com/shorts/4uWlS8JANEs,2:42,2026-05-14T14:50:26Z,Norge,defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; det; dette; norge; norsk; norske; og; til; å; ø,,1210,50,,
12844,12844,0,28,49,12,Hva tror de vil skje egentlig? #norsk #norge #fortnite #norskstream #trending #norskgaming #gaming,Alle Elsker Markus,NO,no,,https://www.youtube.com/shorts/62o-v9PvJhc,0:06,2024-03-12T06:37:00Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,hva; ø,,6020,564,,
12720,12720,0,0,0,19,Gutter og jenter Tegn til tale shorts 3 #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/BqJW-zk7syU,0:17,2025-05-06T03:00:14Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
12486,12486,0,0,0,19,Jeg gikk en tur på stien - Norske barnesanger med animasjon,Muzart og Musikerne,NO,no,no,https://www.youtube.com/shorts/YOt17LEpBw8,1:31,2025-09-16T13:13:11Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; der; følg; ikke; jeg; med; norsk; norske; og; på; til; velkommen; å; æ; ø,,999,61,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
12330,12330,0,2,2,6,#norsk #funny #norr #norskunderholdning #grwm #makeup #skincare #helpmemakethismakesense #haul,Isabelle E.,,en,,https://www.youtube.com/shorts/C6-StWFXVFo,1:49,2025-10-25T11:42:31Z,norsk; norske,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,det; dette; fordi; følg; ikke; og; til; å; æ; ø,,1080,112,,
12257,12257,0,14,19,5,Rutete ninja #norsk #notmine #edit #ruteteninja,L3ONATOR🔛🔝,,no,,https://www.youtube.com/shorts/HnGtWsAJI9o,0:34,2025-01-01T15:02:00Z,norsk,defaultLanguage=no; found by broad Norway/Norwegian seed query,,,159,74,,
12205,12205,0,15,23,15,Send denne til en som ikke har dame (Riptide - Vance Joy norsk cover) #humor,Eivind Byrkjedal,NO,no,,https://www.youtube.com/shorts/ggEt4RvPyas,0:22,2026-04-30T10:58:14Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,ikke; norsk; og; på; til; å; ø,,5510,325,,
12022,12022,0,8,9,10,Er det bare meg? 🤔 #norsktiktok #humor #fyp #viralt #norge #norsk,Håkon Stokke,NO,en,en,https://www.youtube.com/shorts/vyubEv_BWgU,0:12,2026-02-11T07:02:07Z,norsk,channel_country=NO; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; du; å,,13600,1116,,
11952,11952,0,17,19,19,Norsk eller Engelsk?,Prime Video Norge,NO,no,no,https://www.youtube.com/shorts/s-qMVPmCQZ4,0:10,2025-10-28T16:55:47Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; du; følg; ikke; med; norge; norsk; og; på; til; velkommen; å; ø,,200000,1786,,
11633,11633,0,9,10,18,Musikaljentenes vinnerbidrag i Norske talenter 🌟 #norsketalenter #tvnorge,Norske talenter,NO,no,no,https://www.youtube.com/shorts/HHiYpuqe83w,0:54,2023-12-05T07:00:06Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,norsk; norske; på; å,,11600,466,,
11398,11398,0,0,0,19,"Se min kjole, sort kjole   SHORTS #barnesang #barnesanger #norsk",TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/-zLLQkIcmJg,0:25,2025-08-12T04:30:00Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
11339,11339,0,5,10,19,Norsk Vokabular | 5 Ord Hver dag,Norsk Tolk | NTN Skole,NO,no,no,https://www.youtube.com/shorts/Fg6wxqSHjho,0:46,2023-12-28T18:23:46Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; du; hva; hvordan; med; norge; norsk; og; på; til; velkommen; å; æ; ø,,33400,351,,
11283,11283,0,0,0,19,Historien av tre små fisk Shorts 4 #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/yJBdVPnzGpc,0:31,2025-02-18T07:15:02Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
11245,11245,0,28,28,6,Må jeg gå 10 mil?😱 #challange #trening #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/qTnYu4Kbya8,0:29,2026-04-27T17:58:43Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; jeg; norsk; til; å; æ; ø,,7760,160,,
10902,10902,0,1,2,19,Norskprøven Muntlig A2-B1. #lærnorsk #norskprøve #muntlig,Norsk Tolk | NTN Skole,NO,no,no,https://www.youtube.com/shorts/qLYlgbtFXK8,0:16,2025-09-14T08:35:23Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; hva; hvordan; med; norge; norsk; og; på; til; velkommen; å; æ; ø,,33400,351,,
10845,10845,0,4,4,15,Skal ikke være lett🤣 #markuzlife #norsk,Markuz Life,NO,no,und,https://www.youtube.com/shorts/NHFqed2_IzE,0:18,2024-10-15T17:42:12Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,ikke; jeg; og; å; æ,,53400,492,,
10633,10633,0,4,5,19,"Masive gjør en cover av Katy Perrys ""Hot N Cold"" | Finale | Norske talenter",Norske talenter,NO,no,no,https://www.youtube.com/shorts/WGrsXvo2lHs,2:58,2024-11-27T08:52:24Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; følg; norsk; norske; på; å; ø,,11600,466,,
10102,10102,0,8,15,17,Er dette typisk norsk? #norwegian #norsk #learnnorwegian,Norsk med Aria,NO,no,no,https://www.youtube.com/shorts/FJJgO9qdN9o,0:50,2024-08-25T15:51:54Z,norsk; norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,dette; med; norsk,,7890,63,,
10063,10063,0,13,25,15,Hvordan bruker vi “SER UT” #norsk #språk #norskkurs #norwegian #skolen #school #Norge #lærer,Levitator Norge,NO,no,,https://www.youtube.com/shorts/PRGqZuuGtew,1:00,2024-11-08T17:15:03Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,hvordan; med; norge; norsk; og; på; å; æ,,3400,902,,
9906,9906,0,7,7,8,Ble fort tur til Kreta! @Mariell Olsen #norsk,Amund Pettersen,,no,,https://www.youtube.com/shorts/ghS6POptJOA,0:52,2025-10-02T17:51:42Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; til; æ,,1400,37,,
9813,9813,0,22,42,3,Ikke undervurder Norge 🇳🇴 #norge #norsk #norske,More Teacher Paul Reacts ,GB,en,en,https://www.youtube.com/shorts/1LNupOyUM0k,1:00,2024-11-12T07:00:00Z,norsk; norske,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,ikke; norge,,30500,4419,,
9809,9809,0,64,74,6,Kan man hete Kevin i 2025? Mariell Olsen #kjæreste #names #norsk,Amund Pettersen,,en,en,https://www.youtube.com/shorts/UuRVs9g6tso,0:59,2026-06-23T08:04:34Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,følg; norsk; til; å; æ; ø,,7760,160,,
9750,9750,0,11,13,14,"Ikke Musikk - ""Snakke på Norsk"" (Du ser så bra du snakke på Norsk så bra)",Ikke Musikk,,no,no,https://www.youtube.com/shorts/lL5L6xRnBhg,0:15,2024-10-26T23:47:29Z,norsk,defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; ikke; norsk; på; å,,325,30,,
9674,9674,0,1,2,15,Europavisjonar | Pirresnutt | Det Norske Teatret,Det Norske Teatret,NO,no,,https://www.youtube.com/shorts/clOT4epaNgg,0:45,2025-03-02T12:41:25Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; det; du; norsk; norske; og; på; til; å; ø,,1140,328,,
9446,9446,0,1,1,11,Official start of summer 🔥🇳🇴 #ålesund #sankthans #slinningsbålet #norway #norge #football #vm,Zia ( The Explorer) 🇳🇴,NO,no,,https://www.youtube.com/shorts/XmC0juNCvJw,0:09,2026-06-20T17:30:18Z,norske,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,å,,17300,976,,
9018,9018,0,1,1,8,Skulle bare kødde litt @Mariell Olsen #norsk,Amund Pettersen,,no,,https://www.youtube.com/shorts/tLwDNUzo_HU,0:09,2025-09-30T17:18:12Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; æ; ø,,1400,37,,
8853,8853,0,4,4,3,"Slutten da, 6k for en jakke😱 @Mariell Olsen #norsk",Amund Pettersen,,en,,https://www.youtube.com/shorts/DHwb24YwMjg,0:46,2025-09-25T14:22:53Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; æ,,1400,37,,
8831,8831,0,0,0,19,Snorres første standup-show 🎤 Hør «Norsk standup - hva er vitsen?» kun i #nrkradio #podkast #shorts,NRK,NO,no,no,https://www.youtube.com/shorts/pI5UlNaUWW4,0:42,2024-04-02T14:30:16Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,dette; du; hva; og; ø,,409000,3706,,
8418,8418,0,8,9,6,"Norwegian Intonation 101: It’s not *what* you say, it’s *how* you say it 🎶",Preben ́s Norwegian community,NO,en,en,https://www.youtube.com/shorts/gonqa6zc0RI,1:27,2025-07-26T17:00:52Z,norsk,channel_country=NO; found by broad Norway/Norwegian seed query,,,25800,829,,
8384,8384,0,1,1,19,Lær Norsk: Vanlige Hverdagssamtaler for Nybegynnere 🇳🇴🗣️,My Norwegan Teacher,NO,no,no,https://www.youtube.com/shorts/e4zWRDLhZGg,2:02,2025-01-25T14:00:47Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; du; med; norsk; norske; og; på; å; æ; ø,,8880,275,,
8357,8357,0,3,3,9,Den memen blir aldri gammel!😂 #memes #norwegian #clips #norsk #funny  #viral,LolTube,,no,,https://www.youtube.com/shorts/SoTBNNhBqzc,0:06,2025-06-21T10:46:51Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,den; ikke; norsk; å,,87,15,,
8334,8334,0,13,14,10,Returnere en vare i butikken - #norsk#norskopplæring#norskkurs#voksenopplæring#språk#norsk#norwegian,Norsk Med Hijran,,no,,https://www.youtube.com/shorts/Wj47z1RCkxU,0:59,2024-01-04T15:17:41Z,norsk; norske,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,du; følg; med; norsk; og; på; å; æ; ø,,2340,22,,
8325,8325,0,0,0,19,BABYENE  HJULENE PÅ BUSSEN #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/jCwd9_r2M4g,0:37,2024-01-31T23:00:24Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
8178,8178,0,0,0,19,Gratulerer med dagen ingen SHORTS #barnesang #barnesanger #norsk,TaraShow Norsk,NO,no,no,https://www.youtube.com/shorts/y0hBkvv6fPc,0:14,2025-06-10T06:45:08Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; ikke; med; norge; norsk; og; på; til; å; æ; ø,,8320,305,"YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""The video identified by the \u003ccode\u003e\u003ca href=\""/youtube/v3/docs/commentThreads/list#videoId\""\u003evideoId\u003c/a\u003e\u003c/code\u003e parameter has disabled comments."",
    ""errors"": [
      {
        ""message"": """,
8161,8161,0,11,20,19,Å VÆRE vs. Å BLI | Norsk grammatikk,Norsk Tolk | NTN Skole,NO,no,no,https://www.youtube.com/shorts/9Ekt9X1p_rk,2:59,2024-03-28T00:22:28Z,norsk,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; den; der; du; hva; hvordan; med; norge; norsk; og; på; til; velkommen; å; æ; ø,,33400,351,,
8103,8103,0,2,4,19,Åååh Norge Skal Til VM 🇳🇴🎵,fcQuiz Norge,NO,no,no,https://www.youtube.com/shorts/JBIPFnTrXTs,0:16,2026-06-22T16:31:25Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; følg; norge; norsk; norske; på; til; å; ø,,833,239,,
8083,8083,1,8,8,8,Svarer @_martin_tilset_ da blir det emo Mariell da!😂 #norsk,Amund Pettersen,,no,,https://www.youtube.com/shorts/O_fdmM9CFHs,0:34,2025-10-11T16:26:49Z,norsk,defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,abonner; det; æ,,1400,37,,Maybeline eyeliner under øyene og fake lashes og svart Parykk og fake piercing i øyebrynet og ness
8078,8078,0,5,8,14,Første date🤣🤣💀 #markuzlife #norsk,Markuz Life,NO,no,und,https://www.youtube.com/shorts/DP-w5Phg09Y,0:28,2024-05-01T15:33:22Z,norsk,channel_country=NO; defaultLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,jeg; og; å; ø,,53400,492,,
8028,8028,1,6,6,19,Hvem styrer egentlig Norge?,iNyheter,NO,no,no,https://www.youtube.com/shorts/F6q-JMMXO4E,1:33,2025-03-26T19:26:32Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,det; ikke; norge; norsk; norske; på; å; ø,,19700,810,,"Jeg er så enig, Det er det deep state som får oss fra fake A to B . Vi er som sauer som følger klokken « spis nå og betal skatt her og elsk dine islamisk naboer"
8000,8000,0,4,7,19,Problemet med norske mediehus,Wolfgang Wee Uncut,NO,no,no,https://www.youtube.com/shorts/kCQ7mNVOjFo,0:33,2026-05-06T20:30:08Z,norske,channel_country=NO; defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,med; norsk; norske; og; til; å; ø,,54500,1445,,
7921,7921,0,14,16,6,#norsk #funny #norr #grwm #makeup #skincare #norskunderholdning #haul,Isabelle E.,,en,,https://www.youtube.com/shorts/FWaA6Zpbr0g,0:12,2025-10-23T17:14:18Z,norsk,Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,det; dette; fordi; følg; ikke; og; til; å; æ; ø,,1080,112,,
7875,7875,0,4,4,14,Norsk Scania er 80 år - Super 80,NorskScaniaAS,,no,no,https://www.youtube.com/shorts/TLCszU-_3oI,2:17,2025-01-20T09:00:26Z,norsk,defaultLanguage=no; defaultAudioLanguage=no; Norwegian markers in title/description/channel; found by broad Norway/Norwegian seed query,det; med; norsk; og; å,,3260,132,,
